~id,~from,~to,~label
1,1,0,Neo
2,2,0,Trinity
3,3,0,Morpheus
4,4,0,Agent Smith
5,8,0,Emil
6,1,9,Neo
7,2,9,Trinity
8,3,9,Morpheus
9,4,9,Agent Smith
10,1,10,Neo
11,2,10,Trinity
12,3,10,Morpheus
13,4,10,Agent Smith
14,1,11,Kevin Lomax
15,12,11,Mary Ann Lomax
16,13,11,John Milton
17,16,15,Lt. Daniel Kaffee
18,17,15,Col. Nathan R. Jessup
19,18,15,Lt. Cdr. JoAnne Galloway
20,19,15,Capt. Jack Ross
21,20,15,Lt. Jonathan Kendrick
22,21,15,Cpl. Jeffrey Barnes
23,22,15,Cpl. Carl Hammaker
24,23,15,Lt. Sam Weinberg
25,24,15,Lt. Col. Matthew Andrew Markinson
26,25,15,Pfc. Louden Downey
27,26,15,Dr. Stone
28,28,15,Man in Bar
29,16,29,Maverick
30,30,29,Charlie
31,31,29,Iceman
32,32,29,Goose
33,33,29,Viper
34,34,29,Carole
35,16,37,Jerry Maguire
36,22,37,Rod Tidwell
37,38,37,Dorothy Boyd
38,39,37,Avery Bishop
39,40,37,Frank Cushman
40,41,37,Bob Sugar
41,42,37,Laurel Boyd
42,43,37,Marcee Tidwell
43,44,37,Ray Boyd
44,49,46,Gordie Lachance
45,47,46,Chris Chambers
46,40,46,Vern Tessio
47,48,46,Teddy Duchamp
48,50,46,Denny Lachance
49,20,46,Ace Merrill
50,51,46,Mr. Lachance
51,17,52,Melvin Udall
52,53,52,Carol Connelly
53,54,52,Simon Bishop
54,22,52,Frank Sachs
55,60,56,Chris Nielsen
56,22,56,Albert Lewis
57,57,56,Annie Collins-Nielsen
58,58,56,The Tracker
59,59,56,The Face
60,63,62,Ishmael Chambers
61,64,62,Kazuo Miyamoto
62,58,62,Nels Gudmundsson
63,65,62,Judge Fielding
64,71,67,Joe Fox
65,34,67,Kathleen Kelly
66,54,67,Frank Navasky
67,68,67,Patricia Eden
68,69,67,Kevin Jackson
69,70,67,George Pappas
70,71,73,Sam Baldwin
71,34,73,Annie Reed
72,74,73,Suzy
73,75,73,Walter
74,76,73,Greg
75,77,73,Becky
76,71,78,Joe Banks
77,34,78,DeDe
78,34,78,Angelica Graynamore
79,34,78,Patricia Graynamore
80,80,78,Baw
81,82,81,Harry Burns
82,34,81,Sally Albright
83,83,81,Marie
84,84,81,Jess
85,71,85,Mr. White
86,86,85,Faye Dolan
87,12,85,Tina
88,1,87,Shane Falco
89,88,87,Annabelle Farrell
90,89,87,Jimmy McGinty
91,90,87,Clifford Franklin
92,51,92,Admiral
93,93,92,Dieter Dengler
94,94,92,Squad Leader
95,70,92,Duane
96,60,95,Armand Goldman
97,80,95,Albert Goldman
98,89,95,Sen. Kevin Keeley
99,98,97,English Bob
100,99,97,Bill Munny
101,89,97,Little Bill Daggett
102,1,100,Johnny Mnemonic
103,101,100,Takahashi
104,102,100,Jane
105,103,100,J-Bone
106,71,105,Zachry
107,71,105,Dr. Henry Goose
108,71,105,Isaac Sachs
109,71,105,Dermot Hoggins
110,4,105,Bill Smoke
111,4,105,Haskell Moore
112,4,105,Tadeusz Kesselring
113,4,105,Nurse Noakes
114,4,105,Boardman Mephi
115,4,105,Old Georgie
116,106,105,Luisa Rey
117,106,105,Jocasta Ayrs
118,106,105,Ovid
119,106,105,Meronym
120,107,105,Vyvyan Ayrs
121,107,105,Captain Molyneux
122,107,105,Timothy Cavendish
123,71,111,Dr. Robert Langdon
124,112,111,Sir Leight Teabing
125,113,111,Sophie Neveu
126,114,111,Silas
127,4,116,V
128,117,116,Evey Hammond
129,118,116,Eric Finch
130,119,116,High Chancellor Adam Sutler
131,120,116,Dascomb
132,122,121,Speed Racer
133,123,121,Pops
134,124,121,Mom
135,125,121,Racer X
136,126,121,Trixie
137,127,121,Taejo Togokahn
138,120,121,Cass Jones
139,127,128,Raizo
140,129,128,Mika Coretti
141,64,128,Takeshi
142,120,128,Ryan Maslow
143,71,130,Paul Edgecomb
144,131,130,John Coffey
145,132,130,"Brutus ""Brutal"" Howell"
146,42,130,Jan Edgecomb
147,65,130,Warden Hal Moores
148,133,130,"""Wild Bill"" Wharton"
149,134,130,Burt Hammersmith
150,135,130,Melinda Moores
151,138,137,Richard Nixon
152,139,137,David Frost
153,19,137,Jack Brennan
154,140,137,Bob Zelnick
155,133,137,James Reston
156,133,137,Jr.
157,17,141,Hoffa
158,142,141,"Robert ""Bobby"" Ciaro"
159,24,141,Frank Fitzsimmons
160,143,141,"Peter ""Pete"" Connelly"
161,71,144,Jim Lovell
162,19,144,Jack Swigert
163,145,144,Gene Kranz
164,146,144,Fred Haise
165,134,144,Ken Mattingly
166,146,147,Bill Harding
167,53,147,Dr. Jo Harding
168,94,147,Eddie
169,148,147,"Dustin ""Dusty"" Davis"
170,71,150,Chuck Noland
171,53,150,Kelly Frears
172,17,152,Randle McMurphy
173,142,152,Martini
174,17,154,Harry Sanborn
175,155,154,Erica Barry
176,1,154,Julian Mercer
177,60,157,Andrew Marin
178,140,157,Rupert Burns
179,71,159,Rep. Charlie Wilson
180,160,159,Joanne Herring
181,148,159,Gust Avrakotos
182,71,161,Hero Boy
183,71,161,Father
184,71,161,Conductor
185,71,161,Hobo
186,71,161,Scrooge
187,71,161,Santa Claus
188,71,162,Jimmy Dugan
189,164,162,Dottie Hinson
190,165,162,Kit Keller
191,77,162,Doris Murphy
192,163,162,"""All the Way"" Mae Mordabito"
193,146,162,Bob Hinson
