id_person,id_movie,role
1,0,Neo
2,0,Trinity
3,0,Morpheus
4,0,Agent Smith
8,0,Emil
1,9,Neo
2,9,Trinity
3,9,Morpheus
4,9,Agent Smith
1,10,Neo
2,10,Trinity
3,10,Morpheus
4,10,Agent Smith
1,11,Kevin Lomax
12,11,Mary Ann Lomax
13,11,John Milton
16,15,Lt. Daniel Kaffee
17,15,Col. Nathan R. Jessup
18,15,Lt. Cdr. JoAnne Galloway
19,15,Capt. Jack Ross
20,15,Lt. Jonathan Kendrick
21,15,Cpl. Jeffrey Barnes
22,15,Cpl. Carl Hammaker
23,15,Lt. Sam Weinberg
24,15,Lt. Col. Matthew Andrew Markinson
25,15,Pfc. Louden Downey
26,15,Dr. Stone
28,15,Man in Bar
16,29,Maverick
30,29,Charlie
31,29,Iceman
32,29,Goose
33,29,Viper
34,29,Carole
16,37,Jerry Maguire
22,37,Rod Tidwell
38,37,Dorothy Boyd
39,37,Avery Bishop
40,37,Frank Cushman
41,37,Bob Sugar
42,37,Laurel Boyd
43,37,Marcee Tidwell
44,37,Ray Boyd
49,46,Gordie Lachance
47,46,Chris Chambers
40,46,Vern Tessio
48,46,Teddy Duchamp
50,46,Denny Lachance
20,46,Ace Merrill
51,46,Mr. Lachance
17,52,Melvin Udall
53,52,Carol Connelly
54,52,Simon Bishop
22,52,Frank Sachs
60,56,Chris Nielsen
22,56,Albert Lewis
57,56,Annie Collins-Nielsen
58,56,The Tracker
59,56,The Face
63,62,Ishmael Chambers
64,62,Kazuo Miyamoto
58,62,Nels Gudmundsson
65,62,Judge Fielding
71,67,Joe Fox
34,67,Kathleen Kelly
54,67,Frank Navasky
68,67,Patricia Eden
69,67,Kevin Jackson
70,67,George Pappas
71,73,Sam Baldwin
34,73,Annie Reed
74,73,Suzy
75,73,Walter
76,73,Greg
77,73,Becky
71,78,Joe Banks
34,78,DeDe
34,78,Angelica Graynamore
34,78,Patricia Graynamore
80,78,Baw
82,81,Harry Burns
34,81,Sally Albright
83,81,Marie
84,81,Jess
71,85,Mr. White
86,85,Faye Dolan
12,85,Tina
1,87,Shane Falco
88,87,Annabelle Farrell
89,87,Jimmy McGinty
90,87,Clifford Franklin
51,92,Admiral
93,92,Dieter Dengler
94,92,Squad Leader
70,92,Duane
60,95,Armand Goldman
80,95,Albert Goldman
89,95,Sen. Kevin Keeley
98,97,English Bob
99,97,Bill Munny
89,97,Little Bill Daggett
1,100,Johnny Mnemonic
101,100,Takahashi
102,100,Jane
103,100,J-Bone
71,105,Zachry
71,105,Dr. Henry Goose
71,105,Isaac Sachs
71,105,Dermot Hoggins
4,105,Bill Smoke
4,105,Haskell Moore
4,105,Tadeusz Kesselring
4,105,Nurse Noakes
4,105,Boardman Mephi
4,105,Old Georgie
106,105,Luisa Rey
106,105,Jocasta Ayrs
106,105,Ovid
106,105,Meronym
107,105,Vyvyan Ayrs
107,105,Captain Molyneux
107,105,Timothy Cavendish
71,111,Dr. Robert Langdon
112,111,Sir Leight Teabing
113,111,Sophie Neveu
114,111,Silas
4,116,V
117,116,Evey Hammond
118,116,Eric Finch
119,116,High Chancellor Adam Sutler
120,116,Dascomb
122,121,Speed Racer
123,121,Pops
124,121,Mom
125,121,Racer X
126,121,Trixie
127,121,Taejo Togokahn
120,121,Cass Jones
127,128,Raizo
129,128,Mika Coretti
64,128,Takeshi
120,128,Ryan Maslow
71,130,Paul Edgecomb
131,130,John Coffey
132,130,"Brutus ""Brutal"" Howell"
42,130,Jan Edgecomb
65,130,Warden Hal Moores
133,130,"""Wild Bill"" Wharton"
134,130,Burt Hammersmith
135,130,Melinda Moores
138,137,Richard Nixon
139,137,David Frost
19,137,Jack Brennan
140,137,Bob Zelnick
133,137,James Reston
133,137,Jr.
17,141,Hoffa
142,141,"Robert ""Bobby"" Ciaro"
24,141,Frank Fitzsimmons
143,141,"Peter ""Pete"" Connelly"
71,144,Jim Lovell
19,144,Jack Swigert
145,144,Gene Kranz
146,144,Fred Haise
134,144,Ken Mattingly
146,147,Bill Harding
53,147,Dr. Jo Harding
94,147,Eddie
148,147,"Dustin ""Dusty"" Davis"
71,150,Chuck Noland
53,150,Kelly Frears
17,152,Randle McMurphy
142,152,Martini
17,154,Harry Sanborn
155,154,Erica Barry
1,154,Julian Mercer
60,157,Andrew Marin
140,157,Rupert Burns
71,159,Rep. Charlie Wilson
160,159,Joanne Herring
148,159,Gust Avrakotos
71,161,Hero Boy
71,161,Father
71,161,Conductor
71,161,Hobo
71,161,Scrooge
71,161,Santa Claus
71,162,Jimmy Dugan
164,162,Dottie Hinson
165,162,Kit Keller
77,162,Doris Murphy
163,162,"""All the Way"" Mae Mordabito"
146,162,Bob Hinson
